시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
중구,05월,사고[건],2,3,-,1,-,1,-,1,-,1,1,-,1,-,1,2,-,2,4,-,1,-,1,1,-,-,3,-,1,-,2
중구,05월,사망[명],0,0,-,0,-,0,-,0,-,0,0,-,0,-,0,0,-,0,0,-,0,-,0,0,-,-,0,-,0,-,0
중구,05월,부상[명],2,5,-,1,-,1,-,1,-,1,1,-,1,-,4,2,-,3,4,-,2,-,1,1,-,-,3,-,1,-,6
중구,05월,(중상자[명]),0,1,-,1,-,0,-,1,-,0,0,-,0,-,3,0,-,0,1,-,1,-,0,1,-,-,1,-,1,-,0
중구,06월,사고[건],2,1,1,1,4,-,1,-,1,-,-,-,-,-,-,2,1,1,2,-,-,2,1,1,1,1,-,-,-,2,-
중구,06월,사망[명],0,0,0,0,0,-,0,-,0,-,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,-,-,-,0,-
중구,06월,부상[명],2,1,1,1,4,-,1,-,1,-,-,-,-,-,-,2,1,1,2,-,-,3,1,1,1,1,-,-,-,3,-
중구,06월,(중상자[명]),0,0,1,0,0,-,0,-,0,-,-,-,-,-,-,0,0,0,1,-,-,0,0,0,0,0,-,-,-,0,-
중구,07월,사고[건],2,2,-,1,-,-,-,1,-,-,-,-,-,-,-,2,1,-,-,-,2,-,1,-,1,-,-,1,2,3,-
중구,07월,사망[명],0,0,-,0,-,-,-,0,-,-,-,-,-,-,-,0,0,-,-,-,0,-,0,-,0,-,-,0,0,0,-
중구,07월,부상[명],2,2,-,2,-,-,-,1,-,-,-,-,-,-,-,2,3,-,-,-,2,-,1,-,2,-,-,1,2,3,-
중구,07월,(중상자[명]),2,0,-,0,-,-,-,0,-,-,-,-,-,-,-,1,0,-,-,-,1,-,0,-,1,-,-,0,1,0,-
중구,08월,사고[건],2,1,-,-,-,-,-,2,1,2,-,-,1,-,2,1,2,-,-,1,2,1,2,1,1,1,-,1,1,-,3
중구,08월,사망[명],0,0,-,-,-,-,-,0,0,0,-,-,0,-,0,0,0,-,-,0,0,0,0,0,0,0,-,0,0,-,0
중구,08월,부상[명],4,3,-,-,-,-,-,2,2,2,-,-,1,-,2,1,4,-,-,1,3,1,2,1,1,1,-,3,2,-,3
중구,08월,(중상자[명]),0,1,-,-,-,-,-,1,1,1,-,-,0,-,1,0,0,-,-,0,1,0,0,1,1,0,-,0,0,-,1
중구,09월,사고[건],-,2,-,1,1,2,1,1,1,1,-,-,-,-,-,-,-,-,1,2,1,-,2,1,1,1,-,1,1,1,-
중구,09월,사망[명],-,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,-,0,0,0,0,-,0,0,0,-
중구,09월,부상[명],-,3,-,1,1,2,3,1,1,1,-,-,-,-,-,-,-,-,1,2,1,-,2,1,1,1,-,1,1,2,-
중구,09월,(중상자[명]),-,0,-,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,0,0,1,-,0,1,1,1,-,0,0,0,-
중구,10월,사고[건],1,1,1,-,1,1,1,1,-,-,-,1,-,2,1,-,1,-,-,-,1,1,3,1,-,1,-,-,-,1,2
중구,10월,사망[명],0,0,0,-,0,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,0,0,0,0,-,0,-,-,-,0,0
중구,10월,부상[명],1,1,1,-,1,1,1,1,-,-,-,1,-,2,1,-,1,-,-,-,1,1,3,1,-,1,-,-,-,1,3
중구,10월,(중상자[명]),1,1,0,-,1,0,0,0,-,-,-,0,-,0,0,-,0,-,-,-,1,0,1,1,-,0,-,-,-,1,1
서구,05월,사고[건],2,1,1,1,1,2,-,1,1,-,3,1,-,-,2,1,1,-,2,2,2,1,2,1,-,-,3,2,4,-,2
서구,05월,사망[명],0,0,0,0,0,0,-,0,0,-,0,0,-,-,0,0,0,-,0,0,0,0,0,0,-,-,0,0,0,-,0
서구,05월,부상[명],3,1,1,1,1,2,-,1,4,-,6,1,-,-,4,1,2,-,3,2,2,1,4,2,-,-,9,2,5,-,3
서구,05월,(중상자[명]),0,0,0,0,0,1,-,1,1,-,2,1,-,-,1,0,0,-,3,1,1,0,1,1,-,-,2,0,1,-,1
서구,06월,사고[건],-,5,-,1,-,5,-,1,4,2,3,1,1,1,3,2,1,1,-,3,-,2,1,1,3,2,2,2,1,-,-
서구,06월,사망[명],-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,-,-
서구,06월,부상[명],-,9,-,1,-,6,-,1,6,3,3,1,3,1,4,2,2,1,-,4,-,2,2,2,3,3,3,4,2,-,-
서구,06월,(중상자[명]),-,4,-,0,-,4,-,1,0,0,1,0,1,0,1,0,0,0,-,0,-,1,0,0,1,3,1,1,1,-,-
서구,07월,사고[건],-,1,2,-,1,1,1,3,1,-,2,2,2,1,3,1,2,-,-,3,2,1,-,-,3,1,3,-,-,1,1
서구,07월,사망[명],-,0,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,-,-,0,0,0,-,-,0,0
서구,07월,부상[명],-,1,3,-,1,1,2,7,1,-,4,3,5,1,5,1,2,-,-,3,2,1,-,-,3,1,5,-,-,4,1
서구,07월,(중상자[명]),-,1,0,-,0,0,0,0,0,-,1,0,2,1,0,0,1,-,-,1,2,0,-,-,0,1,0,-,-,0,0
서구,08월,사고[건],2,2,1,-,-,1,2,3,-,-,2,1,2,2,1,2,-,-,3,1,-,4,2,-,1,2,2,1,2,-,2
서구,08월,사망[명],0,0,0,-,-,0,0,0,-,-,0,0,1,0,0,0,-,-,0,0,-,0,0,-,0,0,0,0,0,-,0
서구,08월,부상[명],2,2,1,-,-,1,2,3,-,-,2,1,1,6,2,4,-,-,3,1,-,6,4,-,1,2,2,1,3,-,2
서구,08월,(중상자[명]),0,1,0,-,-,0,0,0,-,-,0,0,1,0,0,0,-,-,1,1,-,2,0,-,0,0,0,0,0,-,0
서구,09월,사고[건],1,-,4,1,3,-,1,-,1,-,4,-,2,-,3,-,-,3,-,-,-,1,2,-,4,-,3,2,3,-,-
서구,09월,사망[명],0,-,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,0,-,-,-,0,0,-,0,-,0,0,0,-,-
