,tm,address_city,address_gu,sub_address,stn,ta_max,ta_min,ta_max_min,hm_min,hm_max,ws_max,ws_ins_max,rn_day,call_count
1,20200501,부산광역시,강서구,대저2동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
2,20200501,부산광역시,강서구,천성동,921,24.3,15.4,8.9,64.2,96.4,4.8,8.6,0,1
3,20200501,부산광역시,금정구,금사동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
4,20200501,부산광역시,금정구,금성동,941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,1
5,20200501,부산광역시,금정구,남산동,939,26.5,16.7,9.8,-99,-99,5.7,8.1,0,3
6,20200501,부산광역시,금정구,부곡동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
7,20200501,부산광역시,금정구,장전동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
8,20200501,부산광역시,기장군,기장읍,923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,1
9,20200501,부산광역시,기장군,일광면,923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,2
10,20200501,부산광역시,기장군,장안읍,923,26.9,15.9,11,49.7,87.6,4.2,7.3,0,1
11,20200501,부산광역시,남구,감만동,942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
12,20200501,부산광역시,남구,문현동,942,22.8,16,6.8,-99,-99,5.6,9.4,0,3
13,20200501,부산광역시,남구,용호동,942,22.8,16,6.8,-99,-99,5.6,9.4,0,4
14,20200501,부산광역시,동구,범일동,942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
15,20200501,부산광역시,동구,수정동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
16,20200501,부산광역시,동구,좌천동,942,22.8,16,6.8,-99,-99,5.6,9.4,0,1
17,20200501,부산광역시,동구,초량동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,2
18,20200501,부산광역시,동래구,명장동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,3
19,20200501,부산광역시,동래구,안락동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,1
20,20200501,부산광역시,동래구,온천동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,2
21,20200501,부산광역시,부산진구,가야동,938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,3
22,20200501,부산광역시,부산진구,부암동,938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,1
23,20200501,부산광역시,부산진구,부전동,938,24.8,16.6,8.2,-99,-99,4.3,7.8,0,2
24,20200501,부산광역시,북구,금곡동,941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,1
25,20200501,부산광역시,북구,만덕동,941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,2
26,20200501,부산광역시,북구,화명동,941,25.3,17.1,8.2,-99,-99,7.1,9.7,0,2
27,20200501,부산광역시,사상구,괘법동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
28,20200501,부산광역시,사상구,모라동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
29,20200501,부산광역시,사상구,삼락동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
30,20200501,부산광역시,사상구,엄궁동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
31,20200501,부산광역시,사상구,학장동,904,23.7,16.6,7.1,63.2,90.3,5.8,10.6,0,1
32,20200501,부산광역시,사하구,감천동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
33,20200501,부산광역시,사하구,다대동,950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
34,20200501,부산광역시,사하구,신평동,950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
35,20200501,부산광역시,사하구,장림동,950,23.6,15.4,8.2,61.9,93.8,4.4,7.9,0,1
36,20200501,부산광역시,서구,아미동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
37,20200501,부산광역시,서구,암남동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
38,20200501,부산광역시,수영구,광안동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
39,20200501,부산광역시,수영구,남천동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,2
40,20200501,부산광역시,수영구,망미동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,2
41,20200501,부산광역시,수영구,민락동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
42,20200501,부산광역시,연제구,연산동,940,25.6,17.2,8.4,46.6,76.4,4.8,8.3,0,9
43,20200501,부산광역시,영도구,남항동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
44,20200501,부산광역시,영도구,대교동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
45,20200501,부산광역시,영도구,동삼동,910,20.5,14.6,5.9,71.7,96.4,5.7,8.6,0,5
46,20200501,부산광역시,영도구,신선동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
47,20200501,부산광역시,중구,남포동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,2
48,20200501,부산광역시,중구,중앙동,159,22.7,16.7,6,63.7,87.5,9.4,14.4,0,1
49,20200501,부산광역시,해운대구,반송동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,2
50,20200501,부산광역시,해운대구,반여동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
51,20200501,부산광역시,해운대구,송정동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
52,20200501,부산광역시,해운대구,재송동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,3
53,20200501,부산광역시,해운대구,좌동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
54,20200501,부산광역시,해운대구,중동,937,25.3,16.4,8.9,55.4,88.1,7.3,11.4,0,1
55,20200502,부산광역시,강서구,대저1동,904,22.3,17.4,4.9,68.4,91.2,5.8,9.6,0.5,2
56,20200502,부산광역시,강서구,명지동,904,22.3,17.4,4.9,68.4,91.2,5.8,9.6,0.5,2
57,20200502,부산광역시,강서구,생곡동,904,22.3,17.4,4.9,68.4,91.2,5.8,9.6,0.5,2
58,20200502,부산광역시,강서구,송정동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,2
59,20200502,부산광역시,강서구,신호동,950,22.3,15.8,6.5,69.4,96.1,3.9,5.8,1,2
60,20200502,부산광역시,강서구,천성동,921,21.4,15.7,5.7,74.4,99.5,4.2,7.4,1.5,1
61,20200502,부산광역시,금정구,두구동,939,27.6,16,11.6,-99,-99,4.3,8,0,1
62,20200502,부산광역시,금정구,청룡동,939,27.6,16,11.6,-99,-99,4.3,8,0,1
63,20200502,부산광역시,기장군,일광면,923,24.1,17.1,7,56.7,87.1,3.6,5.7,0,1
64,20200502,부산광역시,기장군,정관읍,923,24.1,17.1,7,56.7,87.1,3.6,5.7,0,1
65,20200502,부산광역시,기장군,철마면,939,27.6,16,11.6,-99,-99,4.3,8,0,1
66,20200502,부산광역시,남구,대연동,942,21.5,16.4,5.1,-99,-99,5.4,8.7,1,4
67,20200502,부산광역시,남구,용호동,942,21.5,16.4,5.1,-99,-99,5.4,8.7,1,1
68,20200502,부산광역시,동구,수정동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
69,20200502,부산광역시,동구,초량동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,2
70,20200502,부산광역시,동래구,명장동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,2
71,20200502,부산광역시,동래구,안락동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,1
72,20200502,부산광역시,동래구,온천동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,3
73,20200502,부산광역시,부산진구,개금동,938,24.6,17.5,7.1,-99,-99,4,6.6,0.5,4
74,20200502,부산광역시,부산진구,당감동,938,24.6,17.5,7.1,-99,-99,4,6.6,0.5,2
75,20200502,부산광역시,부산진구,부전동,938,24.6,17.5,7.1,-99,-99,4,6.6,0.5,4
76,20200502,부산광역시,부산진구,전포동,938,24.6,17.5,7.1,-99,-99,4,6.6,0.5,1
77,20200502,부산광역시,북구,구포동,941,24.6,16.8,7.8,-99,-99,4.7,6.6,0,3
78,20200502,부산광역시,북구,금곡동,941,24.6,16.8,7.8,-99,-99,4.7,6.6,0,1
79,20200502,부산광역시,북구,화명동,941,24.6,16.8,7.8,-99,-99,4.7,6.6,0,1
80,20200502,부산광역시,사상구,덕포동,904,22.3,17.4,4.9,68.4,91.2,5.8,9.6,0.5,1
81,20200502,부산광역시,사상구,학장동,904,22.3,17.4,4.9,68.4,91.2,5.8,9.6,0.5,1
82,20200502,부산광역시,사하구,괴정동,950,22.3,15.8,6.5,69.4,96.1,3.9,5.8,1,2
83,20200502,부산광역시,사하구,구평동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
84,20200502,부산광역시,사하구,다대동,950,22.3,15.8,6.5,69.4,96.1,3.9,5.8,1,1
85,20200502,부산광역시,사하구,장림동,950,22.3,15.8,6.5,69.4,96.1,3.9,5.8,1,3
86,20200502,부산광역시,사하구,하단동,950,22.3,15.8,6.5,69.4,96.1,3.9,5.8,1,1
87,20200502,부산광역시,서구,남부민동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
88,20200502,부산광역시,서구,암남동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
89,20200502,부산광역시,서구,충무동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
90,20200502,부산광역시,수영구,광안동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,1
91,20200502,부산광역시,수영구,망미동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,2
92,20200502,부산광역시,수영구,민락동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,1
93,20200502,부산광역시,연제구,거제동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,1
94,20200502,부산광역시,연제구,연산동,940,25.2,17.4,7.8,48.2,79.8,4.3,6.7,0.5,5
95,20200502,부산광역시,영도구,남항동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
96,20200502,부산광역시,영도구,대평동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
97,20200502,부산광역시,영도구,동삼동,910,19.5,14.8,4.7,79.2,97.5,4.7,7.8,1.5,1
98,20200502,부산광역시,중구,영주동,159,21.8,17,4.8,69.2,89.9,6.5,10,1.1,1
99,20200502,부산광역시,해운대구,반여동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,1
100,20200502,부산광역시,해운대구,우동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,3
101,20200502,부산광역시,해운대구,재송동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,1
102,20200502,부산광역시,해운대구,좌동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,1
103,20200502,부산광역시,해운대구,중동,937,24.1,17,7.1,60.1,88.8,5.5,8.4,1,2
104,20200503,부산광역시,강서구,대저1동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,2
105,20200503,부산광역시,강서구,대저2동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
106,20200503,부산광역시,강서구,명지동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
107,20200503,부산광역시,강서구,봉림동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
108,20200503,부산광역시,강서구,신호동,950,17.3,15.5,1.8,89,97.9,8.3,10.6,15,1
109,20200503,부산광역시,금정구,남산동,939,19.2,15.3,3.9,-99,-99,2.4,5.9,10,1
110,20200503,부산광역시,금정구,부곡동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
111,20200503,부산광역시,금정구,서동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,2
112,20200503,부산광역시,금정구,장전동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
113,20200503,부산광역시,기장군,기장읍,923,17.6,15.1,2.5,83.9,96.6,2.7,4.1,9,3
114,20200503,부산광역시,기장군,장안읍,923,17.6,15.1,2.5,83.9,96.6,2.7,4.1,9,1
115,20200503,부산광역시,기장군,정관읍,923,17.6,15.1,2.5,83.9,96.6,2.7,4.1,9,2
116,20200503,부산광역시,남구,문현동,942,17.4,15.5,1.9,-99,-99,3.8,6.3,21,1
117,20200503,부산광역시,남구,용당동,942,17.4,15.5,1.9,-99,-99,3.8,6.3,21,1
118,20200503,부산광역시,동구,범일동,942,17.4,15.5,1.9,-99,-99,3.8,6.3,21,2
119,20200503,부산광역시,동구,초량동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
120,20200503,부산광역시,동래구,명장동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
121,20200503,부산광역시,동래구,수안동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
122,20200503,부산광역시,동래구,온천동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,2
123,20200503,부산광역시,부산진구,가야동,938,18.4,15.8,2.6,-99,-99,5.1,8.4,14.5,1
124,20200503,부산광역시,부산진구,개금동,938,18.4,15.8,2.6,-99,-99,5.1,8.4,14.5,2
125,20200503,부산광역시,부산진구,범천동,942,17.4,15.5,1.9,-99,-99,3.8,6.3,21,1
126,20200503,부산광역시,부산진구,양정동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
127,20200503,부산광역시,북구,화명동,941,18.6,15.6,3,-99,-99,3.6,7.2,11.5,1
128,20200503,부산광역시,사상구,감전동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
129,20200503,부산광역시,사상구,덕포동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
130,20200503,부산광역시,사상구,모라동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,2
131,20200503,부산광역시,사상구,주례동,938,18.4,15.8,2.6,-99,-99,5.1,8.4,14.5,3
132,20200503,부산광역시,사상구,학장동,904,19.2,16.1,3.1,77.4,99.4,5.6,11.5,16,1
133,20200503,부산광역시,사하구,감천동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
134,20200503,부산광역시,사하구,괴정동,950,17.3,15.5,1.8,89,97.9,8.3,10.6,15,2
135,20200503,부산광역시,사하구,다대동,950,17.3,15.5,1.8,89,97.9,8.3,10.6,15,3
136,20200503,부산광역시,사하구,신평동,950,17.3,15.5,1.8,89,97.9,8.3,10.6,15,4
137,20200503,부산광역시,사하구,하단동,950,17.3,15.5,1.8,89,97.9,8.3,10.6,15,2
138,20200503,부산광역시,서구,동대신동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
139,20200503,부산광역시,서구,서대신동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
140,20200503,부산광역시,서구,암남동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
141,20200503,부산광역시,서구,충무동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,2
142,20200503,부산광역시,수영구,광안동,937,17.6,15.5,2.1,82.2,97.7,2.9,4.8,11,1
143,20200503,부산광역시,수영구,남천동,937,17.6,15.5,2.1,82.2,97.7,2.9,4.8,11,1
144,20200503,부산광역시,연제구,거제동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,1
145,20200503,부산광역시,연제구,연산동,940,17.8,15.3,2.5,72.2,92.1,4.1,6.7,12,2
146,20200503,부산광역시,영도구,동삼동,910,17.1,15.5,1.6,90,97.9,3.9,7.3,22,2
147,20200503,부산광역시,영도구,봉래동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
148,20200503,부산광역시,중구,대청동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,1
149,20200503,부산광역시,중구,중앙동,159,17.9,16.2,1.7,85.2,98.6,5,9.3,21.3,2
150,20200503,부산광역시,해운대구,반여동,937,17.6,15.5,2.1,82.2,97.7,2.9,4.8,11,1
151,20200503,부산광역시,해운대구,우동,937,17.6,15.5,2.1,82.2,97.7,2.9,4.8,11,4
152,20200503,부산광역시,해운대구,재송동,937,17.6,15.5,2.1,82.2,97.7,2.9,4.8,11,1
153,20200504,부산광역시,강서구,강동동,904,26.8,17.1,9.7,58.7,98.4,7.6,12.8,0,1
154,20200504,부산광역시,강서구,대저1동,904,26.8,17.1,9.7,58.7,98.4,7.6,12.8,0,1
155,20200504,부산광역시,강서구,송정동,937,23.2,14.5,8.7,67.4,90,5.6,9.5,0,1
156,20200504,부산광역시,금정구,구서동,940,25.4,16.4,9,54.8,91.8,4.4,6,0.5,1
157,20200504,부산광역시,금정구,금사동,940,25.4,16.4,9,54.8,91.8,4.4,6,0.5,1
158,20200504,부산광역시,금정구,금성동,941,28.3,16.8,11.5,-99,-99,4.7,7.4,0,1
159,20200504,부산광역시,금정구,부곡동,940,25.4,16.4,9,54.8,91.8,4.4,6,0.5,1
160,20200504,부산광역시,기장군,기장읍,923,23.2,14.4,8.8,68.9,97.3,4.3,6.3,0,2
161,20200504,부산광역시,기장군,정관읍,923,23.2,14.4,8.8,68.9,97.3,4.3,6.3,0,1
162,20200504,부산광역시,기장군,철마면,939,30,16.9,13.1,-99,-99,3.4,6.3,0,2
163,20200504,부산광역시,남구,대연동,942,24.5,14.7,9.8,-99,-99,5.7,9.9,0,2
164,20200504,부산광역시,남구,문현동,942,24.5,14.7,9.8,-99,-99,5.7,9.9,0,1
165,20200504,부산광역시,남구,용호동,942,24.5,14.7,9.8,-99,-99,5.7,9.9,0,5
166,20200504,부산광역시,동구,범일동,942,24.5,14.7,9.8,-99,-99,5.7,9.9,0,2
167,20200504,부산광역시,동구,초량동,159,25,15.8,9.2,62.5,99.3,6.8,9.1,0,1
