tm,warning_type,주의보_개수
2020-01-01,건조주의보,1
2020-01-02,건조주의보,1
2020-01-03,건조주의보,1
2020-01-04,건조주의보,1
2020-01-05,건조주의보,1
2020-01-06,건조주의보,1
2020-01-07,"강풍주의보, 풍랑주의보",2
2020-01-08,"강풍주의보, 풍랑주의보",2
2020-01-09,풍랑주의보,1
2020-01-10,건조주의보,1
2020-01-11,건조주의보,1
2020-01-12,건조주의보,1
2020-01-13,건조주의보,1
2020-01-14,건조주의보,1
2020-01-15,건조주의보,1
2020-01-16,건조주의보,1
2020-01-17,건조주의보,1
2020-01-18,풍랑주의보,1
2020-01-19,건조주의보,1
2020-01-20,건조주의보,1
2020-01-21,건조주의보,1
2020-01-22,건조주의보,1
2020-01-24,풍랑주의보,1
2020-01-25,풍랑주의보,1
2020-01-26,"강풍주의보, 풍랑주의보",2
2020-01-27,"강풍주의보, 풍랑주의보",2
2020-01-30,풍랑주의보,1
2020-01-31,풍랑주의보,1
2020-02-03,건조주의보,1
2020-02-04,건조주의보,1
2020-02-05,건조주의보,1
2020-02-06,건조주의보,1
2020-02-07,건조주의보,1
2020-02-08,건조주의보,1
2020-02-09,건조주의보,1
2020-02-10,건조주의보,1
2020-02-12,"강풍주의보, 풍랑주의보",2
2020-02-16,"강풍주의보, 대설주의보, 풍랑주의보",3
2020-02-17,"강풍주의보, 대설주의보, 풍랑주의보",3
2020-02-18,"강풍주의보, 풍랑주의보",2
2020-02-19,"건조주의보, 풍랑주의보",2
2020-02-20,건조주의보,1
2020-02-21,건조주의보,1
2020-02-22,강풍주의보,1
2020-02-26,풍랑주의보,1
2020-03-04,강풍주의보,1
2020-03-05,강풍주의보,1
2020-03-10,"폭풍해일주의보, 풍랑주의보",2
2020-03-11,풍랑주의보,1
2020-03-13,건조주의보,1
2020-03-14,건조주의보,1
2020-03-15,"강풍주의보, 건조주의보, 풍랑주의보",3
2020-03-16,"강풍주의보, 건조주의보, 풍랑주의보",3
2020-03-17,건조주의보,1
2020-03-18,건조주의보,1
2020-03-19,"강풍주의보, 건조주의보, 풍랑주의보",3
2020-03-20,"건조주의보, 풍랑주의보",2
2020-03-21,건조주의보,1
2020-03-22,건조주의보,1
2020-03-23,건조주의보,1
2020-03-24,건조주의보,1
2020-03-25,건조주의보,1
2020-03-26,"강풍주의보, 건조주의보",2
2020-03-27,"강풍주의보, 건조주의보, 풍랑주의보",3
2020-03-28,건조주의보,1
2020-03-29,건조주의보,1
2020-03-30,건조주의보,1
2020-03-31,건조주의보,1
2020-04-01,건조주의보,1
2020-04-02,건조주의보,1
2020-04-03,건조주의보,1
2020-04-04,건조주의보,1
2020-04-05,건조주의보,1
2020-04-06,건조주의보,1
2020-04-07,건조주의보,1
2020-04-08,건조주의보,1
2020-04-09,건조주의보,1
2020-04-10,건조주의보,1
2020-04-11,건조주의보,1
2020-04-12,"건조주의보, 풍랑주의보",2
2020-04-13,"건조주의보, 풍랑주의보",2
2020-04-14,"건조주의보, 풍랑주의보",2
2020-04-15,건조주의보,1
2020-04-16,건조주의보,1
2020-04-17,"건조주의보, 풍랑주의보",2
2020-04-18,풍랑주의보,1
2020-04-19,풍랑주의보,1
2020-04-20,풍랑주의보,1
2020-04-21,"강풍주의보, 풍랑주의보",2
2020-04-22,"강풍주의보, 건조주의보, 풍랑주의보",3
2020-04-23,"건조주의보, 풍랑주의보",2
2020-04-24,건조주의보,1
2020-04-25,"강풍주의보, 건조주의보",2
2020-04-26,건조주의보,1
2020-04-27,건조주의보,1
2020-04-28,건조주의보,1
2020-04-29,건조주의보,1
2020-05-06,풍랑주의보,1
2020-05-07,풍랑주의보,1
2020-05-09,"강풍주의보, 풍랑주의보",2
2020-05-13,건조주의보,1
2020-05-14,건조주의보,1
2020-05-15,"건조주의보, 풍랑주의보, 호우주의보",3
2020-05-19,강풍주의보,1
2020-05-20,풍랑주의보,1
2020-05-21,풍랑주의보,1
2020-06-04,폭염주의보,1
2020-06-05,폭염주의보,1
2020-06-12,호우주의보,1
2020-06-13,호우주의보,1
2020-06-14,"풍랑주의보, 호우주의보",2
2020-06-24,호우주의보,1
2020-06-29,"강풍주의보, 호우주의보",2
2020-06-30,"강풍주의보, 호우주의보",2
2020-07-07,폭염주의보,1
2020-07-08,폭염주의보,1
